id,case_id,party_number,victim_role,victim_sex,victim_age,victim_degree_of_injury,victim_seating_position,victim_safety_equipment_1,victim_safety_equipment_2,victim_ejected
3078083,8008484,2,driver,male,33,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,
3078084,8008484,2,passenger,male,,complaint of pain,passenger seat 3,air bag not deployed,lap/shoulder harness used,
3078095,8008496,1,driver,male,25,other visible injury,driver,air bag not deployed,lap/shoulder harness used,not ejected
3078096,8008496,2,driver,female,30,complaint of pain,driver,air bag deployed,lap/shoulder harness used,not ejected
3078115,8008508,1,driver,female,53,complaint of pain,driver,air bag deployed,lap/shoulder harness used,not ejected
3078164,8008558,1,driver,female,26,complaint of pain,driver,air bag deployed,shoulder harness used,not ejected
3078165,8008558,2,driver,female,30,complaint of pain,driver,air bag not deployed,shoulder harness used,not ejected
3078166,8008558,3,passenger,female,24,no injury,passenger seat 2,air bag not deployed,shoulder harness used,not ejected
3078167,8008558,3,passenger,female,7,complaint of pain,passenger seat 4,air bag not deployed,shoulder harness used,not ejected
3078168,8008558,3,passenger,female,2,no injury,passenger seat 5,air bag not deployed,shoulder harness used,not ejected
3187007,81164718,2,pedestrian,female,62,suspected minor injury,position unknown,,not required,
3187011,81164721,1,driver,male,48,possible injury,driver,other,lap belt used,not ejected
3187012,81164724,2,driver,male,36,possible injury,driver,air bag not deployed,lap/shoulder harness used,not ejected
3187013,81164725,1,passenger,female,16,possible injury,position unknown,air bag deployed,,not ejected
3187014,81164725,1,passenger,female,16,possible injury,position unknown,air bag deployed,,not ejected
3187624,81169842,1,passenger,male,52,possible injury,passenger seat 6,air bag deployed,,not ejected
3187625,81169842,1,passenger,male,68,possible injury,passenger seat 3,air bag deployed,lap/shoulder harness used,not ejected
3187626,81169842,2,driver,female,48,possible injury,driver,air bag not deployed,lap/shoulder harness used,not ejected
3187822,81170896,2,pedestrian,male,26,possible injury,position unknown,,not required,
3189391,81185341,1,driver,female,29,suspected minor injury,driver,air bag deployed,lap/shoulder harness used,not ejected
3189392,81185341,2,driver,male,62,possible injury,driver,air bag not deployed,lap/shoulder harness used,not ejected
3192319,81209840,1,pedestrian,female,14,suspected minor injury,position unknown,,not required,
3192324,81209847,2,pedestrian,female,21,possible injury,position unknown,,not required,
3192343,81209872,2,bicyclist,male,33,suspected minor injury,driver,,not required,fully ejected
3192372,81209907,2,driver,female,77,possible injury,driver,air bag not deployed,lap/shoulder harness used,not ejected
3192375,81209911,2,pedestrian,male,20,possible injury,position unknown,,not required,
3193026,81215688,1,driver,male,66,suspected minor injury,driver,air bag deployed,lap/shoulder harness used,not ejected
3193027,81215688,2,passenger,female,53,possible injury,passenger seat 6,air bag deployed,lap/shoulder harness used,not ejected
3193028,81215688,2,driver,male,69,possible injury,driver,air bag deployed,lap/shoulder harness used,not ejected
3194171,81223334,1,passenger,male,42,possible injury,passenger seat 6,air bag not deployed,lap/shoulder harness used,not ejected
3194423,81225138,2,driver,male,19,suspected serious injury,driver,not required,"driver, motorcycle helmet not used",not ejected
3194675,81228348,1,pedestrian,male,24,possible injury,position unknown,,not required,
3196543,81243424,1,driver,female,83,possible injury,driver,air bag deployed,lap/shoulder harness used,not ejected
3196832,81246702,1,passenger,male,36,possible injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
3197320,81249972,1,passenger,male,13,possible injury,passenger seat 5,air bag deployed,lap/shoulder harness used,not ejected
3197321,81249972,2,passenger,male,22,possible injury,passenger seat 3,air bag deployed,lap/shoulder harness used,not ejected
3197664,81252938,2,passenger,female,17,possible injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
3197665,81252938,2,passenger,female,25,possible injury,passenger seat 6,air bag not deployed,lap/shoulder harness used,not ejected
3197666,81252938,2,driver,female,59,possible injury,driver,air bag not deployed,lap/shoulder harness used,not ejected
3197985,81255750,2,bicyclist,male,33,suspected serious injury,driver,,not required,not ejected
3198119,81257127,1,driver,female,27,possible injury,driver,air bag deployed,lap/shoulder harness used,not ejected
3198120,81257127,2,driver,male,42,possible injury,driver,air bag deployed,lap/shoulder harness used,not ejected
3198267,81258762,2,pedestrian,male,16,possible injury,position unknown,,not required,
3198473,81260455,2,driver,male,28,possible injury,driver,air bag deployed,lap/shoulder harness used,not ejected
3198476,81260458,1,driver,female,79,possible injury,driver,air bag not deployed,lap/shoulder harness used,not ejected
3198477,81260458,2,driver,female,27,possible injury,driver,air bag deployed,lap/shoulder harness used,not ejected
3199314,81266384,2,driver,female,30,possible injury,driver,air bag not deployed,lap/shoulder harness used,not ejected
3200078,81272375,1,passenger,female,61,suspected minor injury,passenger seat 3,air bag deployed,lap/shoulder harness used,not ejected
3201820,81287356,1,driver,male,41,complaint of pain,driver,air bag deployed,lap/shoulder harness used,not ejected
3201821,81287356,2,passenger,female,24,complaint of pain,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
3201822,81287356,2,passenger,female,21,complaint of pain,passenger seat 6,air bag not deployed,lap/shoulder harness used,not ejected
3201823,81287356,2,passenger,male,1,complaint of pain,passenger seat 4,air bag not deployed,child restraint in vehicle used,not ejected
3201875,81287762,2,pedestrian,male,50,severe injury,position unknown,,,fully ejected
3202076,81289351,2,passenger,female,12,complaint of pain,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
3202103,81289554,2,driver,male,30,other visible injury,driver,air bag deployed,lap/shoulder harness used,not ejected
3202104,81289554,2,passenger,female,27,other visible injury,passenger seat 3,air bag deployed,lap/shoulder harness used,not ejected
3202494,81292162,2,bicyclist,male,29,other visible injury,position unknown,,"driver, motorcycle helmet used",not ejected
3202594,81293115,1,passenger,female,36,other visible injury,passenger seat 3,air bag deployed,lap/shoulder harness used,not ejected
3202595,81293115,1,passenger,female,57,other visible injury,passenger seat 4,air bag deployed,lap/shoulder harness used,not ejected
3203325,81298290,2,pedestrian,female,36,complaint of pain,position unknown,,,not ejected
3203543,81299694,1,driver,male,24,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
3203544,81299694,2,driver,male,46,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
3203545,81299694,2,passenger,female,57,complaint of pain,other occupants,not required,none in vehicle,not ejected
3203546,81299694,2,passenger,female,52,complaint of pain,other occupants,not required,none in vehicle,not ejected
3203548,81299698,1,driver,male,32,complaint of pain,driver,air bag deployed,lap/shoulder harness used,not ejected
3203549,81299698,1,passenger,female,38,complaint of pain,passenger seat 3,air bag deployed,lap/shoulder harness used,not ejected
3204116,81304224,2,driver,male,29,other visible injury,driver,air bag deployed,lap/shoulder harness used,not ejected
3204292,81305285,2,driver,male,34,other visible injury,driver,air bag deployed,lap/shoulder harness used,not ejected
3204293,81305285,3,driver,male,36,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
3204294,81305285,4,driver,female,40,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
